Var1;Var2;Var3;Var4
rxn00304_c0;;36;1
rxn01515_c0;;43;1
rxn05740_c0;;31;1
rxn05582_c0;;4;1
rxn01445_c0;;25;1
rxn10484_c0;;34;1
rxn01678_c0;;37;1
rxn00611_c0;;12;1
rxn01644_c0;;29;1
rxn00840_c0;;28;1
rxn01128_c0;;18,28;2
rxn01370_c0;;14,17,25;3
rxn05297_c0;;10;1
rxn00117_c0;;42;1
rxn04159_c0;;1;1
rxn08127_c0;;6,30;2
rxn08942_c0;;6;1
rxn01674_c0;;15,21;2
rxn04162_c0;;1;1
rxn00278_c0;;3;1
rxn08661_c0;;4;1
rxn00839_c0;;22;1
rxn01211_c0;;5;1
rxn05209_c0;;10,4;2
rxn01509_c0;;25;1
rxn00929_c0;;8;1
rxn01510_c0;;14;1
rxn00781_c0;;33;1
rxn05289_c0;;35;1
rxn01280_c0;;13;1
rxn00083_c0;;40;1
rxn03004_c0;;5;1
rxn01301_c0;;11;1
rxn00148_c0;;39;1
rxn01132_c0;;2;1
rxn01109_c0;;9;1
rxn00104_c0;;7,25;2
rxn09562_c0;;16;1
rxn02929_c0;;29;1
rxn01134_c0;;2;1
rxn00903_c0;;3;1
rxn00085_c0;;20;1
rxn01353_c0;;23;1
rxn01679_c0;;37;1
rxn10052_c0;;7;1
rxn00097_c0;;7;1
rxn02716_c0;;1;1
rxn26127_c0;;30;1
rxn09176_c0;;31,25;2
rxn00239_c0;;16;1
rxn01706_c0;;15,14;2
rxn00785_c0;;32;1
rxn01974_c0;;34;1
rxn07441_c0;;34;1
rxn39452__DASH__c0_c0;;19,29;2
rxn00189_c0;;27,38,3,34;4
rxn10060_c0;;41;1
rxn00237_c0;;36;1
rxn00077_c0;;41;1
rxn00695_c0;;31;1
rxn01673_c0;;21;1
rxn01512_c0;;43;1
rxn08615_c0;;31;1
rxn05298_c0;;10;1
rxn01966_c0;;2;1
rxn01129_c0;;18;1
rxn08126_c0;;30;1
rxn00548_c0;;32;1
rxn08941_c0;;6,30;2
rxn01108_c0;;9;1
rxn01281_c0;;13;1
rxn39451__DASH__c0_c0;;19;1
rxn01705_c0;;15;1
rxn00184_c0;;38;1
rxn08128_c0;;6;1
rxn00782_c0;;33;1
rxn12822_c0;;20;1
rxn01187_c0;;32;1
rxn00931_c0;;8;1
rxn01302_c0;;11;1
rxn01352_c0;;25;1
rxn00182_c0;;27;1
rxn03005_c0;;5;1
rxn40037__DASH__c0_c0;;29;1
rxn00612_c0;;12;1
rxn00904_c0;;3;1
rxn01354_c0;;17;1
rxn00460_c0;;42;1
rxn04705_c0;;1;1
R0045;;26;1
R0046;;26;1
R0036;;35;1
R543;;24;1
R0048;;26;1
R048;;26;1
