Var1;Var2;Var3;Var4;meanCon;stdCon
rxn04792_c0;;12;1;-9.75452191215607;494.005106655961
rxn01678_c0;;14;1;-322.726452912486;455.389352341519
rxn01370_c0;;15;1;26.7547426517938;509.038655755098
rxn01674_c0;;37;1;-199.227946389491;480.66946683936
rxn01510_c0;;19,15;2;105.718323507504;504.168579851954
rxn01353_c0;;23;1;-426.548430362658;436.120042150596
rxn01706_c0;;14;1;-123.493176651816;488.696448293258
rxn00189_c0;;27;1;392.331345198818;264.276742713932
rxn10060_c0;;41;1;301.113307399608;184.632081398049
rxn00077_c0;;41;1;-301.197270835358;184.631852463377
rxn01673_c0;;37;1;-322.726343500305;455.3893728367
rxn00712_c0;;37;1;309.643064269552;223.469629087728
rxn01705_c0;;14;1;-123.493402346442;488.696433414705
rxn00182_c0;;27;1;-216.023141669082;478.026119826063
rxn04938_c0;;12;1;9.76784735704819;494.005105793371
rxn01354_c0;;19;1;-159.511823935832;468.577557269458
R0045;;26;1;499.999999785632;215.55401747188
R0048;;26;1;499.999999785632;215.554031389501
R0047;;26;1;499.999999785632;215.55401747188
R048;;26;1;11.8567781245833;0.139951986423578
