Var1;Var2;Var3;Var4;meanUn;stdUn
rxn01445_c0;;25;1;391.00838129869;219.944043861214
rxn10484_c0;;34;1;525.233693855987;230.68546083619
rxn00611_c0;;12;1;-2.15283290239077;494.232293348203
rxn01370_c0;;14,17,25;3;24.5106846865344;509.240919387281
rxn01674_c0;;21;1;-198.066479174545;480.991219805596
rxn01509_c0;;25;1;-389.912290833;219.942615298136
rxn00929_c0;;8;1;36.9117620552766;493.301296013826
rxn01510_c0;;14;1;103.404300886409;504.512230078709
rxn00781_c0;;33;1;484.74593073259;257.374433020939
rxn05289_c0;;35;1;-536.173771880179;247.704412851031
rxn01280_c0;;13;1;-2.15694809882941;494.2322934592
rxn00083_c0;;40;1;499.331863040445;286.655089477755
rxn01301_c0;;11;1;-2.37123559870542;494.232282143937
rxn01109_c0;;9;1;2.15990077802989;494.232297883813
rxn00104_c0;;25;1;243.350862812215;455.587805243215
rxn00085_c0;;20;1;326.42383078579;447.81812434496
rxn01353_c0;;23;1;-423.026068282389;437.764219984754
rxn09176_c0;;25;1;-126.601334003986;318.573482403091
rxn01706_c0;;14;1;-122.32417926904;488.973000675597
rxn01974_c0;;34;1;-525.132970559199;230.685542184274
rxn07441_c0;;34;1;525.189891026199;230.685549390906
rxn39452__DASH__c0_c0;;19;1;235.385613434511;468.581466528536
rxn00189_c0;;27,34;2;396.122505140299;265.325054285902
rxn10060_c0;;41;1;300.595452286992;184.371086957987
rxn00077_c0;;41;1;-300.65577779488;184.370748793319
rxn01673_c0;;21;1;-320.373129066868;456.216405692404
rxn01108_c0;;9;1;-2.15695319960623;494.232298102382
rxn01281_c0;;13;1;2.1598956772965;494.232293240635
rxn39451__DASH__c0_c0;;19;1;237.847089769296;463.81855963286
rxn00782_c0;;33;1;-490.236319453568;257.373165918925
rxn12822_c0;;20;1;72.5509514084564;455.189083585706
rxn00931_c0;;8;1;41.169950737074;493.299835830784
rxn01302_c0;;11;1;1.94560811991758;494.23225188108
rxn01352_c0;;25;1;-391.070244271616;219.944154004265
rxn00182_c0;;27;1;-220.064123161509;477.250956743506
rxn00612_c0;;12;1;2.16399373957802;494.2322931665
rxn01354_c0;;17;1;-161.011209337971;468.623492257099
R0045;;26;1;499.999999811153;215.554017472665
R0046;;26;1;499.999999811153;215.554012833458
R0036;;35;1;542.558109125085;247.697831615543
R543;;24;1;249.862479146154;494.996914803348
R0048;;26;1;499.999999811153;215.554031390286
R048;;26;1;82.3200724981348;1.66899878894095
